query_id,query_text_id,embedding_row
q-rf_1239_sprint-object_hard_v3-0302,qt-q-rf_1239_sprint-object_hard_v3-0302,21
q-rf_1239_sprint-object_hard_v3-0303,qt-q-rf_1239_sprint-object_hard_v3-0303,22
q-rf_1239_sprint-object_hard_v3-0304,qt-q-rf_1239_sprint-object_hard_v3-0304,23
q-rf_1239_sprint-object_hard_v3-0305,qt-q-rf_1239_sprint-object_hard_v3-0305,24
q-rf_1239_sprint-object_hard_v3-0306,qt-q-rf_1239_sprint-object_hard_v3-0306,25
q-rf_1239_sprint-object_hard_v3-0307,qt-q-rf_1239_sprint-object_hard_v3-0307,26
q-rf_1239_sprint-object_hard_v3-0308,qt-q-rf_1239_sprint-object_hard_v3-0308,27
q-rf_1239_sprint-object_hard_v3-0309,qt-q-rf_1239_sprint-object_hard_v3-0309,28
q-rf_1239_sprint-object_hard_v3-0310,qt-q-rf_1239_sprint-object_hard_v3-0310,29
q-rf_1239_sprint-object_hard_v3-0311,qt-q-rf_1239_sprint-object_hard_v3-0311,30
q-rf_1239_sprint-object_hard_v3-0312,qt-q-rf_1239_sprint-object_hard_v3-0312,31
q-rf_1239_sprint-object_hard_v3-0313,qt-q-rf_1239_sprint-object_hard_v3-0313,32
q-rf_1239_sprint-object_hard_v3-0314,qt-q-rf_1239_sprint-object_hard_v3-0314,33
q-rf_1239_sprint-object_hard_v3-0315,qt-q-rf_1239_sprint-object_hard_v3-0315,34
q-rf_1239_sprint-object_hard_v3-0316,qt-q-rf_1239_sprint-object_hard_v3-0316,35
q-rf_1239_sprint-object_hard_v3-0317,qt-q-rf_1239_sprint-object_hard_v3-0317,36
q-rf_1239_sprint-object_hard_v3-0318,qt-q-rf_1239_sprint-object_hard_v3-0318,37
q-rf_1239_sprint-object_hard_v3-0319,qt-q-rf_1239_sprint-object_hard_v3-0319,38
q-rf_1239_sprint-object_hard_v3-0320,qt-q-rf_1239_sprint-object_hard_v3-0320,39
q-rf_1239_sprint-object_hard_v3-0321,qt-q-rf_1239_sprint-object_hard_v3-0321,40
q-rf_1239_sprint-object_hard_v3-0322,qt-q-rf_1239_sprint-object_hard_v3-0322,41
q-rf_1239_sprint-object_hard_v3-0323,qt-q-rf_1239_sprint-object_hard_v3-0323,42
q-rf_1239_sprint-object_hard_v3-0324,qt-q-rf_1239_sprint-object_hard_v3-0324,43
q-rf_1239_sprint-object_hard_v3-0325,qt-q-rf_1239_sprint-object_hard_v3-0325,44
q-rf_1239_sprint-object_hard_v3-0326,qt-q-rf_1239_sprint-object_hard_v3-0326,45
q-rf_1239_sprint-object_hard_v3-0327,qt-q-rf_1239_sprint-object_hard_v3-0327,46
q-rf_1239_sprint-object_hard_v3-0328,qt-q-rf_1239_sprint-object_hard_v3-0328,47
q-rf_1239_sprint-object_hard_v3-0329,qt-q-rf_1239_sprint-object_hard_v3-0329,48
q-rf_1239_sprint-object_hard_v3-0330,qt-q-rf_1239_sprint-object_hard_v3-0330,49
q-rf_1239_sprint-object_hard_v3-0331,qt-q-rf_1239_sprint-object_hard_v3-0331,50
q-rf_1239_sprint-object_hard_v3-0332,qt-q-rf_1239_sprint-object_hard_v3-0332,51
q-rf_1239_sprint-object_hard_v3-0333,qt-q-rf_1239_sprint-object_hard_v3-0333,52
q-rf_1239_sprint-object_hard_v3-0334,qt-q-rf_1239_sprint-object_hard_v3-0334,53
q-rf_1239_sprint-object_hard_v3-0335,qt-q-rf_1239_sprint-object_hard_v3-0335,54
q-rf_1239_sprint-object_hard_v3-0336,qt-q-rf_1239_sprint-object_hard_v3-0336,55
q-rf_1239_sprint-object_hard_v3-0337,qt-q-rf_1239_sprint-object_hard_v3-0337,56
q-rf_1239_sprint-object_hard_v3-0338,qt-q-rf_1239_sprint-object_hard_v3-0338,57
q-rf_1239_sprint-object_hard_v3-0339,qt-q-rf_1239_sprint-object_hard_v3-0339,58
q-rf_1239_sprint-object_hard_v3-0340,qt-q-rf_1239_sprint-object_hard_v3-0340,59
q-rf_1239_sprint-object_hard_v3-0341,qt-q-rf_1239_sprint-object_hard_v3-0341,60
q-rf_1239_sprint-object_hard_v3-0342,qt-q-rf_1239_sprint-object_hard_v3-0342,61
q-rf_1239_sprint-object_hard_v3-0343,qt-q-rf_1239_sprint-object_hard_v3-0343,62
q-rf_1239_sprint-object_hard_v3-0344,qt-q-rf_1239_sprint-object_hard_v3-0344,63
q-rf_1239_sprint-object_hard_v3-0345,qt-q-rf_1239_sprint-object_hard_v3-0345,64
q-rf_1239_sprint-object_hard_v3-0346,qt-q-rf_1239_sprint-object_hard_v3-0346,65
q-rf_1239_sprint-object_hard_v3-0347,qt-q-rf_1239_sprint-object_hard_v3-0347,66
q-rf_1239_sprint-object_hard_v3-0348,qt-q-rf_1239_sprint-object_hard_v3-0348,67
q-rf_1239_sprint-object_hard_v3-0349,qt-q-rf_1239_sprint-object_hard_v3-0349,68
q-rf_1239_sprint-object_hard_v3-0350,qt-q-rf_1239_sprint-object_hard_v3-0350,69
q-rf_1239_sprint-object_hard_v3-0351,qt-q-rf_1239_sprint-object_hard_v3-0351,70
q-rf_1239_sprint-object_hard_v3-0352,qt-q-rf_1239_sprint-object_hard_v3-0352,71
q-rf_1239_sprint-object_hard_v3-0353,qt-q-rf_1239_sprint-object_hard_v3-0353,72
q-rf_1239_sprint-object_hard_v3-0354,qt-q-rf_1239_sprint-object_hard_v3-0354,73
q-rf_1239_sprint-object_hard_v3-0355,qt-q-rf_1239_sprint-object_hard_v3-0355,74
q-rf_1239_sprint-object_hard_v3-0356,qt-q-rf_1239_sprint-object_hard_v3-0356,75
q-rf_1239_sprint-object_hard_v3-0357,qt-q-rf_1239_sprint-object_hard_v3-0357,76
q-rf_1239_sprint-object_hard_v3-0358,qt-q-rf_1239_sprint-object_hard_v3-0358,77
q-rf_1239_sprint-object_hard_v3-0359,qt-q-rf_1239_sprint-object_hard_v3-0359,78
q-rf_1239_sprint-object_hard_v3-0360,qt-q-rf_1239_sprint-object_hard_v3-0360,79
q-rf_1239_sprint-object_hard_v3-0361,qt-q-rf_1239_sprint-object_hard_v3-0361,80
q-rf_1239_sprint-object_hard_v3-0362,qt-q-rf_1239_sprint-object_hard_v3-0362,81
q-rf_1239_sprint-object_hard_v3-0363,qt-q-rf_1239_sprint-object_hard_v3-0363,82
q-rf_1239_sprint-object_hard_v3-0364,qt-q-rf_1239_sprint-object_hard_v3-0364,83
q-rf_1239_sprint-object_hard_v3-0365,qt-q-rf_1239_sprint-object_hard_v3-0365,84
q-rf_1239_sprint-object_hard_v3-0366,qt-q-rf_1239_sprint-object_hard_v3-0366,85
q-rf_1239_sprint-object_hard_v3-0367,qt-q-rf_1239_sprint-object_hard_v3-0367,86
q-rf_1239_sprint-object_hard_v3-0368,qt-q-rf_1239_sprint-object_hard_v3-0368,87
q-rf_1239_sprint-object_hard_v3-0369,qt-q-rf_1239_sprint-object_hard_v3-0369,88
q-rf_1239_sprint-object_hard_v3-0370,qt-q-rf_1239_sprint-object_hard_v3-0370,89
q-rf_1239_sprint-object_hard_v3-0371,qt-q-rf_1239_sprint-object_hard_v3-0371,90
q-rf_1239_sprint-object_hard_v3-0372,qt-q-rf_1239_sprint-object_hard_v3-0372,91
q-rf_1239_sprint-object_hard_v3-0373,qt-q-rf_1239_sprint-object_hard_v3-0373,92
q-rf_1239_sprint-object_hard_v3-0374,qt-q-rf_1239_sprint-object_hard_v3-0374,93
q-rf_1239_sprint-object_hard_v3-0375,qt-q-rf_1239_sprint-object_hard_v3-0375,94
q-rf_1239_sprint-object_hard_v3-0376,qt-q-rf_1239_sprint-object_hard_v3-0376,95
q-rf_1239_sprint-object_hard_v3-0377,qt-q-rf_1239_sprint-object_hard_v3-0377,96
q-rf_1239_sprint-object_hard_v3-0378,qt-q-rf_1239_sprint-object_hard_v3-0378,97
q-rf_1239_sprint-object_hard_v3-0379,qt-q-rf_1239_sprint-object_hard_v3-0379,98
q-rf_1239_sprint-object_hard_v3-0380,qt-q-rf_1239_sprint-object_hard_v3-0380,99
q-rf_1239_sprint-object_hard_v3-0381,qt-q-rf_1239_sprint-object_hard_v3-0381,100
q-rf_1239_sprint-object_hard_v3-0382,qt-q-rf_1239_sprint-object_hard_v3-0382,101
q-rf_1239_sprint-object_hard_v3-0383,qt-q-rf_1239_sprint-object_hard_v3-0383,102
q-rf_1239_sprint-object_hard_v3-0384,qt-q-rf_1239_sprint-object_hard_v3-0384,103
q-rf_1239_sprint-object_hard_v3-0385,qt-q-rf_1239_sprint-object_hard_v3-0385,104
q-rf_1239_sprint-object_hard_v3-0386,qt-q-rf_1239_sprint-object_hard_v3-0386,105
q-rf_1239_sprint-object_hard_v3-0387,qt-q-rf_1239_sprint-object_hard_v3-0387,106
q-rf_1239_sprint-object_hard_v3-0388,qt-q-rf_1239_sprint-object_hard_v3-0388,107
q-rf_1239_sprint-object_hard_v3-0389,qt-q-rf_1239_sprint-object_hard_v3-0389,108
q-rf_1239_sprint-object_hard_v3-0390,qt-q-rf_1239_sprint-object_hard_v3-0390,109
q-rf_1239_sprint-object_hard_v3-0391,qt-q-rf_1239_sprint-object_hard_v3-0391,110
q-rf_1239_sprint-object_hard_v3-0392,qt-q-rf_1239_sprint-object_hard_v3-0392,111
q-rf_1239_sprint-object_hard_v3-0393,qt-q-rf_1239_sprint-object_hard_v3-0393,112
q-rf_1239_sprint-object_hard_v3-0394,qt-q-rf_1239_sprint-object_hard_v3-0394,113
q-rf_1239_sprint-object_hard_v3-0395,qt-q-rf_1239_sprint-object_hard_v3-0395,114
q-rf_1239_sprint-object_hard_v3-0396,qt-q-rf_1239_sprint-object_hard_v3-0396,115
q-rf_1239_sprint-object_hard_v3-0397,qt-q-rf_1239_sprint-object_hard_v3-0397,116
q-rf_1239_sprint-object_hard_v3-0398,qt-q-rf_1239_sprint-object_hard_v3-0398,117
q-rf_1239_sprint-object_hard_v3-0399,qt-q-rf_1239_sprint-object_hard_v3-0399,118
q-rf_1239_sprint-object_hard_v3-0400,qt-q-rf_1239_sprint-object_hard_v3-0400,119
q-rf_1239_sprint-object_hard_v3-0401,qt-q-rf_1239_sprint-object_hard_v3-0401,120
q-rf_1239_sprint-object_hard_v3-0402,qt-q-rf_1239_sprint-object_hard_v3-0402,121
q-rf_1239_sprint-object_hard_v3-0403,qt-q-rf_1239_sprint-object_hard_v3-0403,122
q-rf_1239_sprint-object_hard_v3-0404,qt-q-rf_1239_sprint-object_hard_v3-0404,123
q-rf_1239_sprint-object_hard_v3-0405,qt-q-rf_1239_sprint-object_hard_v3-0405,124
q-rf_1239_sprint-object_hard_v3-0406,qt-q-rf_1239_sprint-object_hard_v3-0406,125
q-rf_1239_sprint-object_hard_v3-0407,qt-q-rf_1239_sprint-object_hard_v3-0407,126
q-rf_1239_sprint-object_hard_v3-0408,qt-q-rf_1239_sprint-object_hard_v3-0408,127
q-rf_1239_sprint-object_hard_v3-0409,qt-q-rf_1239_sprint-object_hard_v3-0409,128
q-rf_1239_sprint-object_hard_v3-0410,qt-q-rf_1239_sprint-object_hard_v3-0410,129
q-rf_1239_sprint-object_hard_v3-0411,qt-q-rf_1239_sprint-object_hard_v3-0411,130
q-rf_1239_sprint-object_hard_v3-0412,qt-q-rf_1239_sprint-object_hard_v3-0412,131
q-rf_1239_sprint-object_hard_v3-0413,qt-q-rf_1239_sprint-object_hard_v3-0413,132
q-rf_1239_sprint-object_hard_v3-0414,qt-q-rf_1239_sprint-object_hard_v3-0414,133
q-rf_1239_sprint-object_hard_v3-0415,qt-q-rf_1239_sprint-object_hard_v3-0415,134
q-rf_1239_sprint-object_hard_v3-0416,qt-q-rf_1239_sprint-object_hard_v3-0416,135
q-rf_1239_sprint-object_hard_v3-0417,qt-q-rf_1239_sprint-object_hard_v3-0417,136
q-rf_1239_sprint-object_hard_v3-0418,qt-q-rf_1239_sprint-object_hard_v3-0418,137
q-rf_1239_sprint-object_hard_v3-0419,qt-q-rf_1239_sprint-object_hard_v3-0419,138
q-rf_1239_sprint-object_hard_v3-0420,qt-q-rf_1239_sprint-object_hard_v3-0420,139
q-rf_1239_sprint-object_hard_v3-0421,qt-q-rf_1239_sprint-object_hard_v3-0421,140
q-rf_1239_sprint-object_hard_v3-0422,qt-q-rf_1239_sprint-object_hard_v3-0422,141
q-rf_1239_sprint-object_hard_v3-0423,qt-q-rf_1239_sprint-object_hard_v3-0423,142
q-rf_1239_sprint-object_hard_v3-0424,qt-q-rf_1239_sprint-object_hard_v3-0424,143
q-rf_1239_sprint-object_hard_v3-0425,qt-q-rf_1239_sprint-object_hard_v3-0425,144
q-rf_1239_sprint-object_hard_v3-0426,qt-q-rf_1239_sprint-object_hard_v3-0426,145
q-rf_1239_sprint-object_hard_v3-0427,qt-q-rf_1239_sprint-object_hard_v3-0427,146
q-rf_1239_sprint-object_hard_v3-0428,qt-q-rf_1239_sprint-object_hard_v3-0428,147
q-rf_1239_sprint-object_hard_v3-0429,qt-q-rf_1239_sprint-object_hard_v3-0429,148
q-rf_1239_sprint-object_hard_v3-0430,qt-q-rf_1239_sprint-object_hard_v3-0430,149
q-rf_1239_sprint-object_hard_v3-0431,qt-q-rf_1239_sprint-object_hard_v3-0431,150
q-rf_1239_sprint-object_hard_v3-0432,qt-q-rf_1239_sprint-object_hard_v3-0432,151
q-rf_1239_sprint-object_hard_v3-0433,qt-q-rf_1239_sprint-object_hard_v3-0433,152
q-rf_1239_sprint-object_hard_v3-0434,qt-q-rf_1239_sprint-object_hard_v3-0434,153
q-rf_1239_sprint-object_hard_v3-0435,qt-q-rf_1239_sprint-object_hard_v3-0435,154
q-rf_1239_sprint-object_hard_v3-0436,qt-q-rf_1239_sprint-object_hard_v3-0436,155
q-rf_1239_sprint-object_hard_v3-0437,qt-q-rf_1239_sprint-object_hard_v3-0437,156
q-rf_1239_sprint-object_hard_v3-0438,qt-q-rf_1239_sprint-object_hard_v3-0438,157
q-rf_1239_sprint-object_hard_v3-0439,qt-q-rf_1239_sprint-object_hard_v3-0439,158
q-rf_1239_sprint-object_hard_v3-0440,qt-q-rf_1239_sprint-object_hard_v3-0440,159
q-rf_1239_sprint-object_hard_v3-0441,qt-q-rf_1239_sprint-object_hard_v3-0441,160
q-rf_1239_sprint-object_hard_v3-0442,qt-q-rf_1239_sprint-object_hard_v3-0442,161
q-rf_1239_sprint-object_hard_v3-0443,qt-q-rf_1239_sprint-object_hard_v3-0443,162
q-rf_1239_sprint-object_hard_v3-0444,qt-q-rf_1239_sprint-object_hard_v3-0444,163
q-rf_1239_sprint-object_hard_v3-0445,qt-q-rf_1239_sprint-object_hard_v3-0445,164
q-rf_1239_sprint-object_hard_v3-0446,qt-q-rf_1239_sprint-object_hard_v3-0446,165
q-rf_1239_sprint-object_hard_v3-0447,qt-q-rf_1239_sprint-object_hard_v3-0447,166
q-rf_1239_sprint-object_hard_v3-0448,qt-q-rf_1239_sprint-object_hard_v3-0448,167
q-rf_1239_sprint-object_hard_v3-0449,qt-q-rf_1239_sprint-object_hard_v3-0449,168
q-rf_1239_sprint-object_hard_v3-0450,qt-q-rf_1239_sprint-object_hard_v3-0450,169
q-rf_1239_sprint-object_hard_v3-0451,qt-q-rf_1239_sprint-object_hard_v3-0451,170
q-rf_1239_sprint-object_hard_v3-0452,qt-q-rf_1239_sprint-object_hard_v3-0452,171
q-rf_1239_sprint-object_hard_v3-0453,qt-q-rf_1239_sprint-object_hard_v3-0453,172
q-rf_1239_sprint-object_hard_v3-0454,qt-q-rf_1239_sprint-object_hard_v3-0454,173
q-rf_1239_sprint-object_hard_v3-0455,qt-q-rf_1239_sprint-object_hard_v3-0455,174
q-rf_1239_sprint-object_hard_v3-0456,qt-q-rf_1239_sprint-object_hard_v3-0456,175
q-rf_1239_sprint-object_hard_v3-0457,qt-q-rf_1239_sprint-object_hard_v3-0457,176
q-rf_1239_sprint-object_hard_v3-0458,qt-q-rf_1239_sprint-object_hard_v3-0458,177
q-rf_1239_sprint-object_hard_v3-0459,qt-q-rf_1239_sprint-object_hard_v3-0459,178
q-rf_1239_sprint-object_hard_v3-0460,qt-q-rf_1239_sprint-object_hard_v3-0460,179
q-rf_1239_sprint-object_hard_v3-0461,qt-q-rf_1239_sprint-object_hard_v3-0461,180
q-rf_1239_sprint-object_hard_v3-0462,qt-q-rf_1239_sprint-object_hard_v3-0462,181
q-rf_1239_sprint-object_hard_v3-0463,qt-q-rf_1239_sprint-object_hard_v3-0463,182
q-rf_1239_sprint-object_hard_v3-0464,qt-q-rf_1239_sprint-object_hard_v3-0464,183
q-rf_1239_sprint-object_hard_v3-0465,qt-q-rf_1239_sprint-object_hard_v3-0465,184
q-rf_1239_sprint-object_hard_v3-0466,qt-q-rf_1239_sprint-object_hard_v3-0466,185
q-rf_1239_sprint-object_hard_v3-0467,qt-q-rf_1239_sprint-object_hard_v3-0467,186
q-rf_1239_sprint-object_hard_v3-0468,qt-q-rf_1239_sprint-object_hard_v3-0468,187
q-rf_1239_sprint-object_hard_v3-0469,qt-q-rf_1239_sprint-object_hard_v3-0469,188
q-rf_1239_sprint-object_hard_v3-0470,qt-q-rf_1239_sprint-object_hard_v3-0470,189
q-rf_1239_sprint-object_hard_v3-0471,qt-q-rf_1239_sprint-object_hard_v3-0471,190
q-rf_1239_sprint-object_hard_v3-0472,qt-q-rf_1239_sprint-object_hard_v3-0472,191
q-rf_1239_sprint-object_hard_v3-0473,qt-q-rf_1239_sprint-object_hard_v3-0473,192
q-rf_1239_sprint-object_hard_v3-0474,qt-q-rf_1239_sprint-object_hard_v3-0474,193
q-rf_1239_sprint-object_hard_v3-0475,qt-q-rf_1239_sprint-object_hard_v3-0475,194
q-rf_1239_sprint-object_hard_v3-0476,qt-q-rf_1239_sprint-object_hard_v3-0476,195
q-rf_1239_sprint-object_hard_v3-0477,qt-q-rf_1239_sprint-object_hard_v3-0477,196
q-rf_1239_sprint-object_hard_v3-0478,qt-q-rf_1239_sprint-object_hard_v3-0478,197
q-rf_1239_sprint-object_hard_v3-0479,qt-q-rf_1239_sprint-object_hard_v3-0479,198
q-rf_1239_sprint-object_hard_v3-0480,qt-q-rf_1239_sprint-object_hard_v3-0480,199
q-rf_1239_sprint-object_hard_v3-0481,qt-q-rf_1239_sprint-object_hard_v3-0481,200
q-rf_1239_sprint-object_hard_v3-0482,qt-q-rf_1239_sprint-object_hard_v3-0482,201
q-rf_1239_sprint-object_hard_v3-0483,qt-q-rf_1239_sprint-object_hard_v3-0483,202
q-rf_1239_sprint-object_hard_v3-0484,qt-q-rf_1239_sprint-object_hard_v3-0484,203
q-rf_1239_sprint-object_hard_v3-0485,qt-q-rf_1239_sprint-object_hard_v3-0485,204
q-rf_1239_sprint-object_hard_v3-0486,qt-q-rf_1239_sprint-object_hard_v3-0486,205
q-rf_1239_sprint-object_hard_v3-0487,qt-q-rf_1239_sprint-object_hard_v3-0487,206
q-rf_1239_sprint-object_hard_v3-0488,qt-q-rf_1239_sprint-object_hard_v3-0488,207
q-rf_1239_sprint-object_hard_v3-0489,qt-q-rf_1239_sprint-object_hard_v3-0489,208
q-rf_1239_sprint-object_hard_v3-0490,qt-q-rf_1239_sprint-object_hard_v3-0490,209
q-rf_1239_sprint-object_hard_v3-0491,qt-q-rf_1239_sprint-object_hard_v3-0491,210
q-rf_1239_sprint-object_hard_v3-0492,qt-q-rf_1239_sprint-object_hard_v3-0492,211
q-rf_1239_sprint-object_hard_v3-0493,qt-q-rf_1239_sprint-object_hard_v3-0493,212
q-rf_1239_sprint-object_hard_v3-0494,qt-q-rf_1239_sprint-object_hard_v3-0494,213
q-rf_1239_sprint-object_hard_v3-0495,qt-q-rf_1239_sprint-object_hard_v3-0495,214
q-rf_1239_sprint-object_hard_v3-0496,qt-q-rf_1239_sprint-object_hard_v3-0496,215
q-rf_1239_sprint-object_hard_v3-0497,qt-q-rf_1239_sprint-object_hard_v3-0497,216
q-rf_1239_sprint-object_hard_v3-0498,qt-q-rf_1239_sprint-object_hard_v3-0498,217
q-rf_1239_sprint-object_hard_v3-0499,qt-q-rf_1239_sprint-object_hard_v3-0499,218
q-rf_1239_sprint-object_hard_v3-0500,qt-q-rf_1239_sprint-object_hard_v3-0500,219
q-rf_1239_sprint-object_hard_v3-0501,qt-q-rf_1239_sprint-object_hard_v3-0501,220
q-rf_1239_sprint-object_hard_v3-0502,qt-q-rf_1239_sprint-object_hard_v3-0502,221
q-rf_1239_sprint-object_hard_v3-0503,qt-q-rf_1239_sprint-object_hard_v3-0503,222
q-rf_1239_sprint-object_hard_v3-0504,qt-q-rf_1239_sprint-object_hard_v3-0504,223
q-rf_1239_sprint-object_hard_v3-0505,qt-q-rf_1239_sprint-object_hard_v3-0505,224
q-rf_1239_sprint-object_hard_v3-0506,qt-q-rf_1239_sprint-object_hard_v3-0506,225
q-rf_1239_sprint-object_hard_v3-0507,qt-q-rf_1239_sprint-object_hard_v3-0507,226
q-rf_1239_sprint-object_hard_v3-0508,qt-q-rf_1239_sprint-object_hard_v3-0508,227
q-rf_1239_sprint-object_hard_v3-0509,qt-q-rf_1239_sprint-object_hard_v3-0509,228
q-rf_1239_sprint-object_hard_v3-0510,qt-q-rf_1239_sprint-object_hard_v3-0510,229
q-rf_1239_sprint-object_hard_v3-0511,qt-q-rf_1239_sprint-object_hard_v3-0511,230
q-rf_1239_sprint-object_hard_v3-0512,qt-q-rf_1239_sprint-object_hard_v3-0512,231
q-rf_1239_sprint-object_hard_v3-0513,qt-q-rf_1239_sprint-object_hard_v3-0513,232
q-rf_1239_sprint-object_hard_v3-0514,qt-q-rf_1239_sprint-object_hard_v3-0514,233
q-rf_1239_sprint-object_hard_v3-0515,qt-q-rf_1239_sprint-object_hard_v3-0515,234
q-rf_1239_sprint-object_hard_v3-0516,qt-q-rf_1239_sprint-object_hard_v3-0516,235
q-rf_1239_sprint-object_hard_v3-0517,qt-q-rf_1239_sprint-object_hard_v3-0517,236
q-rf_1239_sprint-object_hard_v3-0518,qt-q-rf_1239_sprint-object_hard_v3-0518,237
q-rf_1239_sprint-object_hard_v3-0519,qt-q-rf_1239_sprint-object_hard_v3-0519,238
q-rf_1239_sprint-object_hard_v3-0520,qt-q-rf_1239_sprint-object_hard_v3-0520,239
q-rf_1239_sprint-object_hard_v3-0521,qt-q-rf_1239_sprint-object_hard_v3-0521,240
q-rf_1239_sprint-object_hard_v3-0522,qt-q-rf_1239_sprint-object_hard_v3-0522,241
q-rf_1239_sprint-object_hard_v3-0523,qt-q-rf_1239_sprint-object_hard_v3-0523,242
q-rf_1239_sprint-object_hard_v3-0524,qt-q-rf_1239_sprint-object_hard_v3-0524,243
q-rf_1239_sprint-object_hard_v3-0525,qt-q-rf_1239_sprint-object_hard_v3-0525,244
q-rf_1239_sprint-object_hard_v3-0526,qt-q-rf_1239_sprint-object_hard_v3-0526,245
q-rf_1239_sprint-object_hard_v3-0527,qt-q-rf_1239_sprint-object_hard_v3-0527,246
q-rf_1239_sprint-object_hard_v3-0528,qt-q-rf_1239_sprint-object_hard_v3-0528,247
q-rf_1239_sprint-object_hard_v3-0529,qt-q-rf_1239_sprint-object_hard_v3-0529,248
q-rf_1239_sprint-object_hard_v3-0530,qt-q-rf_1239_sprint-object_hard_v3-0530,249
q-rf_1239_sprint-object_hard_v3-0531,qt-q-rf_1239_sprint-object_hard_v3-0531,250
q-rf_1239_sprint-object_hard_v3-0532,qt-q-rf_1239_sprint-object_hard_v3-0532,251
q-rf_1239_sprint-object_hard_v3-0533,qt-q-rf_1239_sprint-object_hard_v3-0533,252
q-rf_1239_sprint-object_hard_v3-0534,qt-q-rf_1239_sprint-object_hard_v3-0534,253
q-rf_1239_sprint-object_hard_v3-0535,qt-q-rf_1239_sprint-object_hard_v3-0535,254
q-rf_1239_sprint-object_hard_v3-0536,qt-q-rf_1239_sprint-object_hard_v3-0536,255
q-rf_1239_sprint-object_hard_v3-0537,qt-q-rf_1239_sprint-object_hard_v3-0537,256
q-rf_1239_sprint-object_hard_v3-0538,qt-q-rf_1239_sprint-object_hard_v3-0538,257
q-rf_1239_sprint-object_hard_v3-0539,qt-q-rf_1239_sprint-object_hard_v3-0539,258
q-rf_1239_sprint-object_hard_v3-0540,qt-q-rf_1239_sprint-object_hard_v3-0540,259
q-rf_1239_sprint-object_hard_v3-0541,qt-q-rf_1239_sprint-object_hard_v3-0541,260
q-rf_1239_sprint-object_hard_v3-0542,qt-q-rf_1239_sprint-object_hard_v3-0542,261
q-rf_1239_sprint-object_hard_v3-0543,qt-q-rf_1239_sprint-object_hard_v3-0543,262
q-rf_1239_sprint-object_hard_v3-0544,qt-q-rf_1239_sprint-object_hard_v3-0544,263
q-rf_1239_sprint-object_hard_v3-0545,qt-q-rf_1239_sprint-object_hard_v3-0545,264
q-rf_1239_sprint-object_hard_v3-0546,qt-q-rf_1239_sprint-object_hard_v3-0546,265
q-rf_1239_sprint-object_hard_v3-0547,qt-q-rf_1239_sprint-object_hard_v3-0547,266
q-rf_1239_sprint-object_hard_v3-0548,qt-q-rf_1239_sprint-object_hard_v3-0548,267
q-rf_1239_sprint-object_hard_v3-0549,qt-q-rf_1239_sprint-object_hard_v3-0549,268
q-rf_1239_sprint-object_hard_v3-0550,qt-q-rf_1239_sprint-object_hard_v3-0550,269
q-rf_1239_sprint-object_hard_v3-0551,qt-q-rf_1239_sprint-object_hard_v3-0551,270
q-rf_1239_sprint-object_hard_v3-0552,qt-q-rf_1239_sprint-object_hard_v3-0552,271
q-rf_1239_sprint-object_hard_v3-0553,qt-q-rf_1239_sprint-object_hard_v3-0553,272
